customer_id,age,gender,city,annual_income,spending_score,membership_years,total_orders,avg_order_value,last_purchase_days,preferred_category,churn
72,59,Male,Los Angeles,37653.0,40.0,1,35,69,350,Fashion,0
73,21,Male,Chicago,117999.0,45.0,8,1,33,84,Beauty,0
74,46,Female,New York,119564.0,4.0,9,29,153,21,Sports,0
75,35,Male,San Francisco,60469.0,25.0,9,51,95,281,Fashion,0
76,43,Female,New York,143064.0,69.0,2,4,103,358,Fashion,1
77,61,Female,Phoenix,106483.0,30.0,9,23,362,172,Groceries,0
78,51,Male,Dallas,141585.0,76.0,7,28,177,25,Electronics,0
79,27,Male,New York,79754.0,68.0,5,16,305,103,Fashion,0
80,53,Male,Chicago,49978.0,88.0,7,12,441,190,Groceries,0
81,31,Male,Houston,107592.0,29.0,9,53,333,236,Electronics,1
82,48,Male,Houston,114543.0,73.0,8,21,113,313,Beauty,0
83,65,Male,Phoenix,63169.0,68.0,6,45,316,37,Beauty,0
84,32,Female,Miami,68287.0,51.0,4,17,113,272,Beauty,0
85,25,Female,Chicago,74745.0,24.0,1,40,76,293,Groceries,1
86,31,Female,Chicago,130168.0,14.0,6,13,183,332,Groceries,1
87,40,Male,New York,133985.0,69.0,3,52,339,152,Electronics,0
88,57,Female,Dallas,140843.0,18.0,6,58,117,282,Beauty,1
89,38,Female,Chicago,25543.0,42.0,6,32,35,20,Home,0
90,33,Female,Los Angeles,76392.0,57.0,4,37,363,137,Fashion,0
91,62,Female,Miami,41067.0,83.0,2,50,97,359,Groceries,0
92,35,Female,New York,71033.0,12.0,9,15,365,29,Groceries,0
93,64,Male,Los Angeles,65256.0,82.0,2,12,91,31,Groceries,0
94,41,Male,Phoenix,,,3,49,289,19,Electronics,0
95,43,Female,Houston,128383.0,30.0,10,57,306,148,Beauty,0
96,42,Female,Phoenix,129048.0,88.0,1,15,85,283,Home,0
97,62,Female,Houston,89345.0,75.0,7,34,387,350,Fashion,0
98,58,Male,Phoenix,42191.0,99.0,1,6,87,341,Fashion,0
99,46,Male,Chicago,106803.0,23.0,9,17,212,300,Beauty,0
100,32,Female,Los Angeles,92742.0,81.0,1,48,74,163,Home,0
101,62,Male,Houston,138843.0,1.0,5,49,487,113,Electronics,0
102,18,Male,New York,106593.0,79.0,7,57,398,150,Groceries,0
103,42,Female,Los Angeles,48992.0,32.0,3,20,481,330,Groceries,1
104,24,Male,New York,132050.0,9.0,9,9,187,255,Beauty,1
105,26,Male,Los Angeles,101531.0,15.0,8,59,428,87,Fashion,0
106,41,Female,Los Angeles,68803.0,28.0,3,5,44,350,Groceries,0
107,18,Male,Phoenix,129975.0,24.0,5,23,150,98,Fashion,0
108,61,Male,Houston,83477.0,60.0,7,33,344,132,Fashion,0
109,25,Female,Houston,33210.0,35.0,4,38,121,312,Beauty,0
110,41,Male,Dallas,103329.0,86.0,5,56,393,97,Sports,0
111,28,Male,Los Angeles,46270.0,27.0,3,14,301,98,Sports,0
112,68,Female,Chicago,82008.0,83.0,9,17,315,290,Sports,0
113,34,Female,Chicago,25197.0,76.0,10,57,313,356,Home,0
114,25,Female,New York,133857.0,20.0,9,19,441,227,Beauty,1
115,52,Male,New York,27452.0,65.0,7,33,471,145,Fashion,0
116,52,Female,Phoenix,61486.0,85.0,10,1,282,156,Groceries,0
117,50,Male,Los Angeles,34859.0,49.0,2,13,497,270,Home,0
118,22,Female,New York,47236.0,1.0,7,46,433,162,Sports,0
119,59,Male,New York,51899.0,10.0,7,27,139,112,Electronics,0
120,56,Female,Miami,52083.0,47.0,5,6,422,331,Home,1
121,58,Female,Los Angeles,87708.0,59.0,9,59,250,185,Home,1
122,45,Female,San Francisco,131462.0,96.0,3,6,310,205,Beauty,0
123,24,Female,Phoenix,36663.0,62.0,4,33,180,97,Groceries,0
124,26,Male,New York,113076.0,86.0,1,30,180,55,Home,0
125,25,Female,Phoenix,138665.0,18.0,6,46,97,117,Groceries,0
126,29,Female,Houston,39053.0,46.0,4,35,57,93,Beauty,0
127,51,Male,Phoenix,31085.0,32.0,1,23,413,293,Electronics,1
128,50,Female,San Francisco,50564.0,27.0,2,10,460,204,Fashion,0
129,65,Male,Chicago,109745.0,92.0,3,51,47,282,Fashion,0
130,40,Female,San Francisco,79095.0,18.0,9,19,481,189,Sports,1
131,41,Female,Chicago,89517.0,39.0,8,51,119,323,Sports,0
132,54,Female,Phoenix,41153.0,49.0,7,28,313,84,Electronics,0
133,52,Male,Chicago,25247.0,93.0,4,23,419,180,Fashion,0
134,61,Female,Houston,30553.0,82.0,1,4,143,274,Sports,1
135,57,Female,Los Angeles,,,8,20,424,181,Groceries,0
136,39,Female,Chicago,115381.0,72.0,4,19,111,181,Home,0
137,44,Male,Chicago,26135.0,54.0,3,42,274,283,Beauty,0
138,52,Male,Phoenix,25573.0,95.0,9,27,116,287,Sports,0
139,18,Female,Houston,138819.0,34.0,10,57,25,106,Electronics,0
140,52,Male,Dallas,144588.0,71.0,4,34,188,129,Fashion,0
141,54,Female,Dallas,99267.0,36.0,4,4,402,262,Electronics,0
142,64,Female,Dallas,27189.0,18.0,9,56,290,11,Beauty,0
143,31,Female,Dallas,100077.0,38.0,2,38,127,162,Beauty,0
144,20,Female,Los Angeles,63646.0,59.0,5,7,406,181,Electronics,1
145,18,Female,San Francisco,96623.0,9.0,4,48,318,213,Sports,0
146,22,Female,Phoenix,131971.0,73.0,9,7,66,274,Sports,1
147,43,Female,Phoenix,73687.0,72.0,5,50,118,21,Fashion,0
148,31,Male,Miami,88312.0,51.0,9,52,33,275,Groceries,0
149,56,Male,Houston,127615.0,35.0,9,26,213,260,Fashion,0
150,44,Male,Dallas,47564.0,82.0,2,26,176,333,Home,0
151,26,Male,Los Angeles,48835.0,5.0,9,54,407,116,Groceries,0
152,32,Male,Houston,81587.0,14.0,3,19,173,25,Home,0
153,32,Male,Dallas,27697.0,92.0,4,9,134,333,Fashion,0
154,43,Male,Los Angeles,100165.0,30.0,1,20,415,254,Groceries,0
155,59,Female,Houston,93922.0,4.0,1,42,277,211,Groceries,0
156,30,Female,Phoenix,37046.0,39.0,1,45,164,305,Home,0
157,68,Female,Phoenix,77823.0,84.0,9,50,310,321,Electronics,0
158,49,Female,San Francisco,93580.0,64.0,8,16,29,339,Sports,0
159,56,Male,New York,73370.0,25.0,5,54,387,257,Groceries,1
160,66,Male,San Francisco,29615.0,28.0,5,17,233,168,Groceries,0
161,69,Female,Chicago,133338.0,76.0,9,22,252,337,Home,0
162,49,Female,San Francisco,25060.0,66.0,3,13,190,21,Groceries,0
163,21,Male,Dallas,96436.0,78.0,3,12,40,86,Home,0
164,47,Female,Miami,80519.0,22.0,7,10,34,15,Electronics,1
165,54,Female,Houston,140562.0,31.0,9,1,438,50,Groceries,0
166,40,Female,Miami,91117.0,23.0,6,32,387,304,Beauty,1
167,56,Female,New York,81158.0,48.0,2,30,145,305,Fashion,1
168,62,Male,Chicago,54782.0,20.0,1,8,360,196,Electronics,0
169,32,Female,Houston,105709.0,38.0,2,21,360,364,Beauty,1
170,60,Female,Los Angeles,98533.0,55.0,1,22,232,301,Electronics,1
171,46,Male,Dallas,128939.0,68.0,10,18,207,288,Sports,0
172,53,Male,Chicago,78255.0,79.0,10,2,191,245,Electronics,0
173,30,Female,Phoenix,131952.0,88.0,9,48,499,353,Electronics,0
174,49,Male,New York,92684.0,89.0,10,44,266,201,Sports,0
175,24,Female,Chicago,76918.0,1.0,8,9,24,193,Groceries,1
176,68,Female,Dallas,146093.0,7.0,7,3,250,336,Fashion,1
177,39,Male,San Francisco,104284.0,57.0,3,54,220,146,Beauty,0
178,45,Female,Chicago,99558.0,95.0,8,26,392,310,Home,0
179,19,Female,San Francisco,,,2,21,421,127,Fashion,1
180,59,Female,Dallas,124223.0,5.0,2,30,168,175,Electronics,1
181,62,Female,Phoenix,101422.0,50.0,10,28,91,134,Home,0
182,23,Male,Houston,140363.0,42.0,3,36,245,66,Sports,0
183,45,Male,Los Angeles,146352.0,12.0,7,26,93,279,Fashion,1
184,45,Female,Phoenix,45256.0,18.0,1,34,326,246,Groceries,0
185,61,Male,San Francisco,50005.0,66.0,8,8,188,363,Beauty,1
186,61,Female,San Francisco,26638.0,74.0,7,10,268,237,Fashion,0
187,37,Female,Los Angeles,57419.0,79.0,4,48,299,171,Fashion,0
188,47,Female,Houston,53377.0,94.0,5,55,171,51,Groceries,0
189,28,Female,Chicago,,,10,43,243,328,Home,1
190,45,Female,Los Angeles,63116.0,68.0,1,50,244,359,Sports,0
191,42,Male,New York,56634.0,71.0,4,54,57,153,Groceries,0
192,56,Female,New York,102291.0,62.0,1,14,63,80,Sports,0
193,50,Male,Dallas,43382.0,41.0,1,40,204,145,Groceries,0
194,18,Male,Phoenix,135303.0,95.0,10,55,462,274,Fashion,0
195,44,Female,San Francisco,,,1,15,260,155,Sports,0
196,69,Female,Houston,42394.0,70.0,7,17,437,337,Home,0
197,30,Female,Dallas,,,7,53,350,363,Home,0
198,58,Female,Phoenix,123246.0,58.0,4,18,370,325,Beauty,0
199,20,Female,Phoenix,130634.0,51.0,2,32,229,336,Sports,0
200,56,Male,Dallas,20864.0,34.0,3,38,42,143,Beauty,0
201,23,Female,Miami,119572.0,44.0,8,23,143,298,Groceries,1
202,25,Female,Phoenix,60222.0,15.0,8,46,105,34,Electronics,0
203,44,Male,Miami,33666.0,78.0,6,23,62,304,Home,1
204,26,Male,New York,143664.0,70.0,10,35,485,239,Fashion,1
205,54,Female,New York,40955.0,50.0,9,39,59,138,Home,1
206,50,Male,Phoenix,130674.0,32.0,9,15,322,254,Electronics,1
207,68,Female,New York,123533.0,67.0,4,53,188,5,Fashion,0
208,59,Male,Houston,101845.0,3.0,1,24,194,176,Sports,1
209,61,Male,Miami,136925.0,86.0,1,28,39,214,Sports,0
210,41,Female,Miami,89590.0,86.0,10,16,480,364,Home,0
211,32,Male,Phoenix,147775.0,74.0,5,16,128,23,Fashion,0
212,49,Male,New York,86471.0,51.0,2,40,212,318,Groceries,1
213,49,Male,Los Angeles,130476.0,67.0,6,39,263,13,Fashion,1
214,41,Male,San Francisco,108314.0,76.0,7,6,343,241,Beauty,0
215,58,Male,Dallas,142579.0,93.0,1,2,299,276,Electronics,0
216,69,Male,Dallas,63298.0,48.0,6,54,247,92,Sports,0
217,66,Female,Miami,83108.0,17.0,8,13,55,108,Home,0
218,66,Female,Phoenix,133864.0,7.0,5,44,64,229,Fashion,1
219,69,Male,Phoenix,,,7,47,405,152,Sports,1
220,29,Female,Houston,36709.0,66.0,10,59,47,108,Home,1
221,56,Female,Chicago,29726.0,4.0,6,9,173,289,Sports,1
222,19,Female,San Francisco,80824.0,10.0,4,34,42,176,Home,1
223,20,Male,Chicago,60542.0,88.0,7,17,226,320,Sports,0
224,66,Female,Miami,40245.0,17.0,10,27,439,286,Groceries,0
225,54,Male,Dallas,54753.0,52.0,9,29,110,364,Beauty,0
226,66,Female,Houston,99788.0,6.0,10,37,409,329,Electronics,1
227,34,Male,Houston,41316.0,83.0,10,43,438,241,Sports,0
228,66,Male,Houston,122907.0,69.0,7,22,378,145,Electronics,0
229,19,Female,Miami,104698.0,96.0,5,51,57,356,Sports,0
230,19,Female,Chicago,35960.0,74.0,7,24,438,14,Fashion,0
231,45,Male,Dallas,50791.0,9.0,3,7,247,275,Beauty,0
232,40,Female,Houston,127766.0,91.0,2,34,221,71,Groceries,0
233,54,Female,Dallas,45216.0,77.0,5,48,369,315,Beauty,0
234,49,Female,New York,52467.0,83.0,4,12,328,195,Electronics,1
235,50,Male,Phoenix,84427.0,21.0,5,23,273,353,Fashion,1
236,18,Male,Phoenix,132470.0,24.0,8,15,57,300,Home,1
237,36,Female,Dallas,82047.0,4.0,4,33,240,11,Beauty,0
238,19,Female,Los Angeles,93290.0,24.0,9,57,206,106,Groceries,0
239,61,Female,Los Angeles,67014.0,59.0,7,13,62,258,Fashion,1
240,43,Male,Miami,24078.0,99.0,10,23,378,196,Fashion,0
241,49,Male,Miami,98389.0,3.0,7,38,133,145,Electronics,0
242,23,Female,Phoenix,70519.0,68.0,8,32,279,220,Groceries,0
243,49,Female,New York,24042.0,40.0,6,45,24,350,Fashion,0
244,21,Female,San Francisco,69052.0,48.0,8,50,87,174,Fashion,1
245,28,Female,Chicago,34389.0,54.0,3,35,247,216,Home,1
246,34,Female,Chicago,115961.0,35.0,10,1,142,93,Electronics,0
247,55,Female,Miami,,,10,47,192,260,Electronics,0
248,41,Male,New York,125058.0,56.0,1,58,355,63,Groceries,0
249,22,Female,Miami,113715.0,89.0,6,45,172,29,Fashion,0
250,69,Male,San Francisco,70733.0,40.0,1,5,481,275,Home,1
251,51,Female,Chicago,54754.0,77.0,9,57,286,347,Sports,0
252,23,Female,Dallas,38624.0,68.0,2,13,176,285,Beauty,1
253,39,Male,Miami,105886.0,46.0,2,54,181,70,Electronics,0
254,28,Male,Houston,46681.0,78.0,7,5,233,279,Home,0
255,65,Male,Dallas,109524.0,13.0,2,32,417,231,Groceries,0
256,33,Male,San Francisco,101006.0,27.0,10,51,395,302,Home,1
257,50,Female,San Francisco,44704.0,6.0,8,21,427,255,Fashion,0
258,26,Male,Miami,124272.0,17.0,6,24,462,172,Beauty,0
259,23,Female,Phoenix,114913.0,36.0,7,18,442,180,Electronics,1
260,33,Male,Miami,114108.0,99.0,7,21,45,264,Sports,0
261,46,Female,Phoenix,143731.0,81.0,6,54,446,183,Fashion,0
262,20,Female,San Francisco,27493.0,2.0,10,10,311,322,Electronics,1
263,37,Female,New York,89639.0,77.0,9,24,442,205,Groceries,0
264,53,Female,San Francisco,120380.0,52.0,9,40,208,249,Electronics,1
265,36,Female,Chicago,74383.0,66.0,7,47,419,213,Home,0
266,43,Female,Dallas,22994.0,52.0,9,21,141,159,Beauty,0
267,20,Male,Dallas,89280.0,92.0,10,25,249,100,Sports,0
268,36,Female,Los Angeles,67234.0,43.0,3,52,78,317,Beauty,1
269,37,Male,Los Angeles,67291.0,90.0,3,57,115,112,Home,0
270,49,Male,San Francisco,148674.0,22.0,1,59,281,308,Sports,1
271,24,Female,Chicago,112868.0,55.0,5,23,373,166,Sports,0
272,69,Male,Los Angeles,25594.0,67.0,4,22,331,36,Fashion,0
273,58,Female,Dallas,125835.0,99.0,2,4,155,112,Sports,0
274,50,Male,Miami,27371.0,60.0,9,34,369,87,Electronics,0
275,57,Female,New York,67315.0,58.0,3,56,302,183,Beauty,0
276,56,Male,New York,103564.0,12.0,8,6,474,85,Groceries,0
277,35,Female,Chicago,147251.0,88.0,6,28,430,269,Groceries,1
278,57,Female,San Francisco,121448.0,69.0,5,31,492,165,Beauty,0
279,18,Female,Los Angeles,99526.0,84.0,1,35,139,303,Fashion,0
280,28,Female,Miami,132387.0,39.0,4,39,449,90,Sports,0
281,45,Male,New York,36626.0,13.0,3,42,444,238,Home,0
282,42,Female,New York,106005.0,41.0,1,23,482,22,Electronics,0
283,67,Male,Houston,126258.0,57.0,5,6,44,167,Fashion,0
284,40,Male,San Francisco,125573.0,53.0,6,16,361,215,Sports,1
285,48,Male,Houston,27130.0,12.0,2,2,165,58,Groceries,0
286,47,Female,Dallas,26828.0,13.0,3,24,31,30,Home,0
287,59,Male,New York,77514.0,74.0,6,17,106,106,Sports,0
288,52,Male,Chicago,127148.0,97.0,4,45,454,330,Fashion,0
289,24,Male,Phoenix,132524.0,57.0,9,1,128,167,Home,0
290,33,Female,Phoenix,124635.0,40.0,5,6,442,350,Home,0
291,43,Female,Miami,72664.0,80.0,4,5,364,154,Home,0
292,65,Male,New York,131701.0,45.0,2,57,285,327,Home,0
293,69,Female,New York,37883.0,35.0,6,45,241,7,Sports,0
294,66,Female,Dallas,63059.0,3.0,10,55,93,197,Home,1
295,19,Male,New York,104078.0,5.0,2,50,352,321,Sports,1
296,18,Male,Chicago,62932.0,90.0,7,29,329,46,Home,0
297,65,Female,Houston,149900.0,11.0,3,12,432,18,Home,0
298,29,Male,New York,81269.0,71.0,9,39,121,153,Fashion,0
299,22,Female,New York,,,5,47,444,264,Sports,0
300,54,Female,Dallas,95986.0,10.0,8,3,156,74,Groceries,1
301,49,Female,San Francisco,105959.0,34.0,6,48,210,145,Sports,0
302,26,Female,Los Angeles,22035.0,67.0,10,1,480,102,Beauty,0
303,58,Female,San Francisco,129767.0,72.0,8,27,440,335,Groceries,0
304,52,Female,Dallas,60745.0,31.0,3,48,161,335,Fashion,0
305,36,Male,San Francisco,37241.0,75.0,3,24,376,121,Sports,0
306,65,Male,Dallas,72975.0,71.0,5,44,92,176,Fashion,0
307,33,Female,Chicago,43154.0,66.0,10,19,347,63,Groceries,0
308,20,Female,Miami,45625.0,70.0,3,59,186,296,Fashion,1
309,37,Female,New York,64950.0,41.0,8,8,187,84,Fashion,0
310,41,Male,Dallas,118602.0,63.0,10,55,73,15,Electronics,0
311,50,Female,Dallas,76396.0,32.0,8,44,278,355,Sports,1
312,41,Male,Los Angeles,119227.0,20.0,2,47,458,134,Fashion,0
313,69,Female,Dallas,138920.0,57.0,4,2,130,121,Electronics,1
314,28,Female,Phoenix,33331.0,98.0,10,30,251,319,Electronics,0
315,66,Male,Miami,83927.0,50.0,1,30,180,128,Home,1
316,25,Male,New York,106226.0,80.0,4,49,371,288,Home,0
317,53,Female,New York,104719.0,25.0,4,39,346,301,Groceries,0
318,55,Female,Los Angeles,83014.0,12.0,10,45,38,180,Sports,1
319,57,Female,Chicago,59346.0,71.0,9,32,309,82,Home,0
320,37,Male,New York,90411.0,39.0,3,1,481,13,Groceries,0
321,52,Male,Phoenix,74478.0,17.0,2,38,69,24,Sports,0
322,65,Male,New York,32254.0,45.0,9,13,194,168,Groceries,0
323,42,Male,Phoenix,75734.0,11.0,9,11,321,270,Electronics,0
324,52,Male,Miami,48621.0,70.0,1,10,203,70,Electronics,0
325,42,Male,Miami,136490.0,23.0,6,48,204,318,Sports,1
326,46,Female,Houston,96441.0,91.0,10,59,358,89,Groceries,0
327,35,Female,Houston,66121.0,70.0,8,26,326,189,Groceries,0
328,63,Male,Phoenix,147386.0,38.0,3,56,329,257,Home,1
329,35,Female,Chicago,101418.0,2.0,9,55,365,217,Home,1
330,19,Female,New York,80197.0,86.0,2,20,100,32,Sports,0
331,52,Male,Dallas,104577.0,84.0,6,17,393,141,Beauty,0
332,33,Female,New York,114634.0,89.0,1,17,175,161,Home,0
333,58,Male,Houston,138034.0,79.0,7,4,294,32,Fashion,0
334,53,Male,San Francisco,62431.0,93.0,3,5,302,312,Home,0
335,50,Female,Dallas,137637.0,72.0,7,23,451,152,Beauty,0
336,21,Male,Phoenix,119245.0,37.0,4,46,268,347,Groceries,0
337,50,Male,Dallas,120211.0,49.0,9,52,166,260,Electronics,0
338,31,Male,San Francisco,24837.0,52.0,5,10,454,216,Electronics,0
339,38,Male,New York,131984.0,33.0,3,46,26,279,Groceries,0
340,65,Male,New York,110025.0,22.0,8,28,176,285,Electronics,1
341,37,Male,Chicago,103163.0,5.0,6,33,190,98,Home,0
342,25,Male,Los Angeles,91232.0,18.0,2,43,88,30,Electronics,0
343,24,Male,Dallas,68994.0,38.0,3,26,113,90,Beauty,0
344,20,Female,Houston,99079.0,37.0,8,55,388,148,Beauty,0
345,34,Female,San Francisco,32615.0,94.0,10,50,382,144,Home,0
346,50,Female,San Francisco,21466.0,95.0,7,48,395,67,Groceries,0
347,65,Male,San Francisco,50771.0,64.0,10,29,205,357,Fashion,1
348,29,Male,Houston,138645.0,10.0,6,27,411,58,Home,1
349,68,Female,Los Angeles,103886.0,79.0,1,18,189,281,Electronics,0
350,39,Female,New York,85911.0,42.0,9,40,223,279,Home,1
351,39,Female,Chicago,118566.0,48.0,3,10,61,236,Beauty,0
352,63,Male,Chicago,40746.0,44.0,5,58,32,353,Home,0
353,47,Female,Houston,108422.0,82.0,7,42,173,128,Home,0
354,55,Female,Chicago,129884.0,87.0,7,5,293,337,Fashion,0
355,55,Male,San Francisco,80739.0,97.0,3,10,317,209,Beauty,0
356,62,Female,Miami,128440.0,16.0,4,50,70,186,Sports,1
357,68,Male,Los Angeles,118187.0,54.0,10,21,388,169,Sports,0
358,25,Male,New York,93369.0,35.0,7,24,231,172,Beauty,0
359,44,Male,Miami,21893.0,98.0,8,38,163,260,Sports,0
360,44,Female,Los Angeles,50573.0,28.0,2,3,376,205,Electronics,1
361,51,Female,Phoenix,116907.0,2.0,9,40,22,135,Sports,0
362,38,Male,Dallas,60874.0,94.0,7,31,273,46,Electronics,0
363,47,Female,Houston,97362.0,13.0,8,41,494,9,Beauty,0
364,50,Female,San Francisco,119956.0,41.0,6,37,354,161,Sports,1
365,45,Female,Chicago,107460.0,80.0,6,2,275,289,Sports,0
366,64,Female,Phoenix,147021.0,59.0,9,2,117,340,Groceries,0
367,50,Male,Chicago,138580.0,69.0,4,39,192,321,Electronics,0
368,22,Female,Miami,53367.0,92.0,5,49,169,106,Electronics,0
369,65,Male,New York,41199.0,53.0,9,42,298,290,Home,0
370,36,Male,New York,136600.0,45.0,1,44,78,341,Fashion,1
371,21,Female,New York,111404.0,20.0,4,34,465,88,Sports,0
372,52,Male,San Francisco,94328.0,24.0,7,42,132,192,Groceries,0
373,66,Female,Chicago,77724.0,61.0,9,20,343,153,Fashion,0
374,34,Female,Phoenix,106133.0,91.0,10,33,262,311,Groceries,0
375,61,Male,New York,56405.0,94.0,6,4,329,137,Fashion,0
376,45,Male,Phoenix,118232.0,58.0,8,45,76,273,Sports,1
377,47,Male,Chicago,128659.0,27.0,9,44,426,149,Groceries,0
378,46,Male,San Francisco,35989.0,26.0,10,11,386,188,Electronics,0
379,63,Female,Miami,48931.0,7.0,4,42,79,141,Home,0
380,23,Female,San Francisco,29290.0,42.0,1,47,348,131,Groceries,1
381,52,Female,Phoenix,58367.0,47.0,8,5,235,4,Beauty,0
382,58,Male,San Francisco,141136.0,53.0,2,25,488,263,Sports,1
383,54,Male,San Francisco,99878.0,59.0,1,49,252,26,Sports,0
384,41,Male,Miami,110477.0,38.0,7,37,74,24,Beauty,0
385,46,Female,Chicago,99481.0,69.0,10,34,392,266,Fashion,1
386,66,Male,Chicago,96298.0,87.0,9,9,227,229,Home,0
387,63,Female,Houston,146299.0,92.0,9,6,82,269,Fashion,0
388,48,Male,San Francisco,50133.0,98.0,3,18,203,125,Beauty,0
389,52,Female,Chicago,132616.0,53.0,6,14,330,172,Beauty,0
390,50,Female,Chicago,125686.0,15.0,7,19,300,234,Home,0
391,69,Male,Los Angeles,47052.0,96.0,10,14,45,295,Beauty,0
392,38,Male,New York,127286.0,26.0,9,40,196,275,Beauty,0
393,49,Female,Houston,105489.0,48.0,2,17,82,76,Groceries,0
